index,starting_n,approx_digits,n_over_1e11
1,35676017721,487,0.3568
2,64482563907,498,0.6448
3,73292417435,501,0.7329
4,116255850744,510,1.1626
5,147743683226,515,1.4774
6,159430471996,516,1.5943
7,182501065420,519,1.8250
