index,starting_n,approx_digits,n_over_1e9
415,107163255221,509,107.163255
416,107707905675,509,107.707906
417,108219662789,509,108.219663
418,108418038553,509,108.418039
419,109079902566,509,109.079903
420,109088508082,509,109.088508
421,109421263737,509,109.421264
422,109547710839,509,109.547711
423,109642314968,509,109.642315
424,110200337978,509,110.200338
425,110545163916,509,110.545164
426,110953692031,509,110.953692
427,111056522234,509,111.056522
428,111394504551,509,111.394505
429,111807642623,509,111.807643
430,112231397180,509,112.231397
431,112243761274,509,112.243761
432,112368908562,509,112.368909
433,112612226091,510,112.612226
434,113498157321,510,113.498157
435,113660483086,510,113.660483
436,114246171966,510,114.246172
437,114497825913,510,114.497826
438,114703148315,510,114.703148
439,114756532718,510,114.756533
440,114986878169,510,114.986878
441,115372895197,510,115.372895
442,115817631640,510,115.817632
443,115821348670,510,115.821349
444,116255850744,510,116.255851
445,117347666774,510,117.347667
446,117961457777,510,117.961458
447,118005672016,510,118.005672
448,118323412292,511,118.323412
449,118551578372,511,118.551578
450,119200169424,511,119.200169
451,119434855593,511,119.434856
452,119456408269,511,119.456408
453,120541756903,511,120.541757
454,120805142626,511,120.805143
455,120854621882,511,120.854622
456,121059987182,511,121.059987
457,121540289494,511,121.540289
458,121978847679,511,121.978848
459,122341472147,511,122.341472
460,122625075193,511,122.625075
461,122663937161,511,122.663937
462,122726858402,511,122.726858
463,123037305944,511,123.037306
464,123172135550,511,123.172136
465,123209692698,511,123.209693
466,123354822863,511,123.354823
467,123499897759,511,123.499898
468,123744190364,511,123.744190
469,123817086064,511,123.817086
470,123847610498,511,123.847610
471,124047626857,511,124.047627
472,124201076593,511,124.201077
473,124246417533,512,124.246418
474,124340002320,512,124.340002
475,124749688743,512,124.749689
476,124939309254,512,124.939309
477,125202509283,512,125.202509
478,125315553985,512,125.315554
479,125385480009,512,125.385480
480,125387781789,512,125.387782
481,125479346652,512,125.479347
482,126368511389,512,126.368511
483,126378553414,512,126.378553
484,126441837157,512,126.441837
485,126468576199,512,126.468576
486,126720185652,512,126.720186
487,126755980783,512,126.755981
488,127023420463,512,127.023420
489,127197144447,512,127.197144
490,127365701377,512,127.365701
491,127408727027,512,127.408727
492,127772855880,512,127.772856
493,127853149134,512,127.853149
494,128243633768,512,128.243634
495,128617976142,512,128.617976
496,128781878679,512,128.781879
497,129289255356,512,129.289255
498,129476973894,512,129.476974
499,130043666633,512,130.043667
500,130549613720,512,130.549614
501,130581270765,513,130.581271
502,130583176000,513,130.583176
503,130601213839,513,130.601214
504,130626533910,513,130.626534
505,130854247187,513,130.854247
506,131021872001,513,131.021872
507,131070597161,513,131.070597
508,131892175950,513,131.892176
509,131931108516,513,131.931109
510,132170006476,513,132.170006
511,132447599813,513,132.447600
512,132571338233,513,132.571338
513,133054422117,513,133.054422
514,133226708613,513,133.226709
515,133610174966,513,133.610175
516,133674904373,513,133.674904
517,133722846597,513,133.722847
518,133876346358,513,133.876346
519,134300067464,513,134.300067
520,134804131302,513,134.804131
521,135322305241,513,135.322305
522,135369268633,513,135.369269
523,135856917348,513,135.856917
524,136520639442,513,136.520639
525,136669144206,513,136.669144
526,136777448619,513,136.777449
527,136960324515,513,136.960325
528,137498043673,514,137.498044
529,137764089159,514,137.764089
530,138502169745,514,138.502170
531,138538877147,514,138.538877
532,138840302974,514,138.840303
533,138879014824,514,138.879015
534,139069987737,514,139.069988
535,139263995829,514,139.263996
536,139809040646,514,139.809041
537,139920215481,514,139.920215
538,140277314588,514,140.277315
