main_star_n,gap_k
58796681858,1232
58796681859,830
58796681859,2610
58796681859,4500
58796681860,2202
58796681860,2798
58796681860,4134
58796681861,1080
58796681861,1902
58796681861,2064
58796681861,3710
58796681861,3854
58796681861,3930
58796681861,4598
58796681861,4752
58796681861,4902
58796681861,4932
59989205731,2232
59989205731,2370
59989205731,4344
59989205731,4730
59989205732,446
59989205732,1046
59989205732,3168
59989205732,4868
59989205733,326
59989205733,1568
59989205733,3632
59989205733,3648
59989205733,3990
59989205734,1454
59989205734,2090
59989205734,2340
60491176786,1322
60491176786,1448
60491176786,1640
60491176786,1880
60491176786,2544
60491176787,278
60491176787,2456
60491176787,3480
60491176787,4236
60491176788,336
60491176788,1206
60491176788,1230
60491176788,2910
60491176788,3188
60491176789,366
60491176789,1074
60491176789,1334
60491176789,1400
60491176789,2706
60491176789,4160
60491176789,4580
60502965982,764
60502965982,2474
60502965983,360
60502965983,770
60502965983,896
60502965983,1886
60502965983,3122
60502965983,4256
60502965983,4398
60502965983,4410
60502965984,1496
60502965985,2484
60502965985,3954
60765988778,68
60765988778,138
60765988778,702
60765988778,972
60765988778,2352
60765988778,3468
60765988778,3698
60765988778,4508
60765988779,450
60765988779,926
60765988779,2384
60765988779,3590
60765988779,3836
60765988780,1694
60765988780,2240
60765988780,4524
60765988781,240
60765988781,458
60765988781,1010
60765988781,1350
60765988781,4520
60765988781,4778
60773199040,884
60773199040,1112
60773199040,2730
60773199040,3204
60773199040,4034
60773199040,4472
60773199041,1128
60773199041,1182
60773199041,3164
60773199042,1536
60773199042,2894
60773199042,3854
60773199042,4820
60773199043,762
60773199043,1800
60773199043,2042
60773199043,2826
60773199043,4328
60876885161,1554
60876885161,3980
60876885161,4818
60876885163,156
60876885163,770
60876885163,1196
60876885163,1922
60876885163,3930
60876885164,740
60876885164,1944
60876885164,2310
60876885164,4950
61355576466,14
61355576466,2568
61355576466,3770
61355576466,4142
61355576466,4964
61355576467,3950
61355576467,4008
61355576467,4274
61355576467,4518
61355576467,4658
61355576468,698
61355576468,1602
61355576468,2306
61355576468,2502
61355576468,3158
61355576468,4128
61355576468,4622
61355576469,2846
61355576469,3710
62065331901,2798
62065331901,3000
62065331901,4890
62065331902,576
62065331902,1760
62065331902,1796
62065331902,2604
62065331902,2958
62065331902,3638
62065331903,216
62065331903,320
62065331903,1316
62065331903,1910
62065331903,3042
62065331903,3216
62065331903,4122
62065331903,4148
62065331903,4770
62065331904,1530
62065331904,1598
62065331904,3026
62065331904,3816
62769188085,728
62769188085,914
62769188085,1388
62769188085,1604
62769188085,2394
62769188085,2792
62769188085,3590
62769188085,4520
62769188086,774
62769188086,780
62769188086,1130
62769188086,3980
62769188086,4878
62769188087,324
62769188087,794
62769188087,1226
62769188087,1724
62769188087,2634
62769188087,3960
62769188088,1122
62769188088,1256
62769188088,1440
62769188088,3140
62975874937,936
62975874937,2168
62975874937,2946
62975874938,1010
62975874938,1802
62975874938,3866
62975874938,3990
62975874938,4056
62975874938,4242
62975874938,4502
62975874938,4538
62975874939,174
62975874939,4074
62975874939,4434
62975874940,590
63150957868,2118
63150957869,210
63150957869,926
63150957869,1448
63150957869,2354
63150957869,3710
63150957869,4746
63150957870,440
63150957870,744
63150957870,2664
63150957870,3434
63150957870,4094
63150957871,2
63150957871,614
63150957871,1292
63150957871,1622
63150957871,3698
63290715485,1784
63290715485,2520
63290715486,822
63290715486,1724
63290715486,1922
63290715486,2372
63290715486,2750
63290715486,2894
63290715486,4202
63290715486,4620
63290715486,4988
63290715487,1080
63290715487,2370
63290715487,3954
63290715487,4316
63290715487,4526
63290715488,908
63290715488,1148
63290715488,3062
63290715488,4800
63600609254,1230
63600609254,1670
63600609254,2574
63600609254,2820
63600609254,3828
63600609254,4338
63600609255,2478
63600609255,4248
63600609256,860
63600609256,1568
63600609256,1628
63600609256,4178
63600609256,4928
63600609257,996
63600609257,1088
63600609257,1314
63600609257,1664
63600609257,1820
64316222569,2004
64316222569,3096
64316222570,1368
64316222570,1962
64316222570,2114
64316222570,2522
64316222570,3908
64316222570,4188
64316222570,4190
64316222570,4352
64316222570,4874
64316222571,810
64316222571,2624
64316222571,3924
64316222571,3974
64316222571,4974
64316222572,900
64316222572,1046
64316222572,2424
64316222572,2496
64482563907,1590
64482563907,2436
64482563907,3806
64482563908,560
64482563908,1356
64482563908,2102
64482563908,3260
64482563908,4448
64482563909,516
64482563909,968
64482563909,1194
64482563909,4686
64482563910,2330
64482563908,560
64482563908,1356
64482563908,2102
64482563908,3260
64482563908,4448
64482563909,516
64482563909,968
64482563909,1194
64482563909,4686
64482563910,2330
64482563911,962
64482563911,2334
64722592379,3366
64722592379,3830
64722592380,3804
64722592380,4388
64722592381,1884
64722592381,2478
64722592381,3480
64722592381,4722
64722592382,254
64722592382,2886
64722592382,3264
64722592382,4518
64722592382,4898
65020173993,2300
65020173993,2852
65020173993,2912
65020173993,3020
65020173994,2730
65020173994,3204
65020173994,4668
65020173994,4674
65020173995,338
65020173995,912
65020173995,1062
65020173995,1602
65020173995,1914
65020173995,2942
65020173995,4808
65020173996,1290
65020173996,1554
65020173996,1880
65020173996,2142
65020173996,3138
65020173996,3618
65020173996,4848
65576910525,1178
65576910525,2322
65576910525,3720
65576910526,408
65576910526,2258
65576910526,4650
65576910527,390
65576910527,816
65576910527,1638
65576910527,2114
65576910527,2708
65576910528,212
65576910528,492
65576910528,1742
65576910528,2168
65576910528,2298
65576910528,2600
65576910528,4358
65809731485,312
65809731485,1820
65809731485,2244
65809731485,3128
65809731486,4584
65809731487,2930
65809731487,3336
65809731487,3686
65809731487,4896
65809731488,168
65809731488,618
65809731488,768
65809731488,1178
65809731488,2556
65809731488,3090
65809731488,4940
65824739709,2310
65824739709,4128
65824739709,4164
65824739710,1824
65824739710,1850
65824739710,2408
65824739710,2910
65824739710,3228
65824739710,4290
65824739710,4520
65824739711,804
65824739712,426
65824739712,3254
65824739712,3416
65824739712,3858
65824739712,3894
66398952664,20
66398952664,84
66398952664,854
66398952664,1190
66398952664,2360
66398952664,4986
66398952665,488
66398952665,684
66398952665,4080
66398952665,4382
66398952665,4422
66398952665,4934
66398952666,2234
66398952666,4104
66398952667,210
66398952667,590
66398952667,668
66398952667,810
66398952667,1818
66398952667,2810
66398952667,2960
66398952667,4076
66483948761,110
66483948761,420
66483948761,464
66483948761,1092
66483948761,4344
66483948761,4682
66483948761,4988
66483948762,150
66483948762,3864
66483948763,18
66483948763,3822
66483948764,1544
66483948764,2766
66483948764,3830
66699239736,464
66699239736,2244
66699239736,3222
66699239737,1098
66699239737,1890
66699239737,2724
66699239737,3530
66699239737,3594
66699239737,4566
66699239738,3006
66699239738,4686
66699239738,4836
66699239739,98
66699239739,1866
66699239739,3926
66699239739,4358
66699239739,4386
66699239739,4548
66699239739,4916
66708084075,992
66708084075,1400
66708084075,1748
66708084075,2142
66708084075,2310
66708084075,2432
66708084075,2648
66708084075,2790
66708084075,3152
66708084075,3770
66708084075,3980
66708084075,4118
66708084075,4494
66708084075,4820
66708084076,608
66708084076,1554
66708084076,2544
66708084076,3018
66708084076,4202
66708084077,2786
66708084077,3078
66708084077,3266
66708084077,3878
66708084077,4038
66708084078,2318
66782549246,630
66782549246,2148
66782549246,4820
66782549247,84
66782549247,188
66782549247,1886
66782549247,1988
66782549247,2606
66782549248,1446
66782549248,1560
66782549248,1590
66782549248,1652
66782549248,3110
66782549249,258
66782549249,366
66782549249,954
66782549249,2078
66782549249,2964
66954115822,1304
66954115822,1716
66954115822,1754
66954115823,212
66954115823,1862
66954115823,3636
66954115823,4370
66954115824,558
66954115824,3728
66954115824,3978
66954115825,278
66954115825,978
66954115825,984
66954115825,2438
66954115825,4290
66954115825,4524
66954115825,4568
66954115825,4782
67078621554,2534
67078621554,3588
67078621554,4350
67078621555,192
67078621555,522
67078621555,684
67078621555,698
67078621555,1284
67078621555,2370
67078621555,3572
67078621555,4158
67078621555,4710
67078621556,312
67078621556,450
67078621556,708
67078621556,1638
67078621556,2798
67078621556,3648
67078621557,168
67078621557,228
67078621557,560
67078621557,720
67078621557,1526
67078621557,1734
67078621557,2520
67078621557,3140
67078621557,4074
67745481054,1976
67745481054,4194
67745481054,4430
67745481055,480
67745481055,3692
67745481055,4368
67745481056,1958
67745481056,2510
67745481056,2888
67745481056,3098
67745481057,1764
67745481057,2720
67745481057,3596
67937064659,1124
67937064659,1286
67937064659,1386
67937064659,2480
67937064659,3330
67937064660,1628
67937064660,2858
67937064660,3948
67937064661,570
67937064661,780
67937064661,2208
67937064661,2714
67937064661,4634
67937064661,4860
67937064662,816
67937064662,1290
68822406273,216
68822406273,2622
68822406273,3840
68822406273,4946
68822406274,116
68822406274,1238
68822406274,4374
68822406274,4496
68822406275,1970
68822406275,3264
68822406275,3924
68822406275,4410
68822406275,4638
68875255095,1362
68875255095,4052
68875255095,4422
68875255096,2130
68875255096,3270
68875255096,3710
68875255097,884
68875255097,1560
68875255097,1710
68875255097,2394
68875255098,2
68875255098,1586
68875255098,4646
68875255098,4890
69315435078,648
69315435078,3476
69315435078,3492
69315435079,1128
69315435079,4550
69315435080,924
69315435080,1278
69315435080,1292
69315435080,1428
69315435080,1868
69315435080,4548
69315435081,20
69315435081,852
69315435081,2094
69315435081,2102
69315435081,2984
69315435081,3468
69315435081,3624
69315435081,3804
69315435081,4844
69384901935,2024
69384901935,3918
69384901935,4860
69384901936,468
69384901936,542
69384901936,2420
69384901936,2592
69384901936,2712
69384901936,4350
69384901937,686
69384901937,1736
69384901937,3728
69384901937,3786
69384901938,960
69384901938,2942
69384901938,4352
69384901938,4860
69385681900,564
69385681900,1122
69385681900,1334
69385681900,1434
69385681900,4014
69385681900,4328
69385681900,4344
69385681900,4352
69385681901,462
69385681902,810
69385681902,1644
69385681902,3096
69385681902,3260
69385681903,32
69385681903,3128
69385681903,3630
69385681903,4226
69510145869,618
69510145869,2216
69510145869,3678
69510145870,950
69510145870,1284
69510145870,3200
69510145870,4898
69510145871,318
69510145872,1076
69510145872,1754
69510145872,2120
69510145872,4550
69656333597,798
69656333597,3416
69656333598,492
69656333598,560
69656333598,1386
69656333598,1508
69656333598,2166
69656333598,3810
69656333598,4668
69656333599,950
69656333599,1344
69656333599,3704
69656333599,4274
69656333600,90
69656333600,654
69656333600,810
69656333600,2532
69656333600,4328
69656333600,4554
69984014739,548
69984014739,1100
69984014739,2826
69984014739,4710
69984014739,4844
69984014740,408
69984014740,420
69984014740,692
69984014740,1050
69984014740,1208
69984014740,1272
69984014740,2772
69984014740,3972
69984014741,1094
69984014741,1148
69984014741,1898
69984014741,3300
69984014741,3878
69984014741,4518
69984014742,618
69984014742,3594
70080415944,530
70080415944,830
70080415944,1124
70080415944,1314
70080415944,2004
70080415944,2274
70080415944,3210
70080415944,3324
70080415944,3986
70080415945,1788
70080415946,1148
70080415946,4188
70080415947,2298
70080415947,4086
70080415947,4436
70080415947,4550
70080415947,4734
70180654654,1980
70180654654,4448
70180654654,4550
70180654654,5000
70180654655,294
70180654655,1820
70180654655,1892
70180654656,1404
70180654656,1638
70180654656,3588
70180654656,3894
70180654656,4304
70180654657,720
70180654657,3594
70180654657,4778
72303918076,1190
72303918076,1728
72303918078,770
72303918078,1392
72303918078,3588
72303918079,1416
72303918079,1710
72303918079,2456
72303918079,3756
72303918079,4190
72303918079,4538
72303918079,4700
72303918079,4976
72443521126,918
72443521126,3114
72443521127,636
72443521127,1368
72443521127,3500
72443521127,3686
72443521127,3926
72443521127,4784
72443521128,4730
72523495237,414
72523495237,866
72523495237,2124
72523495237,2390
72523495237,2444
72523495237,4056
72523495238,602
72523495238,1386
72523495238,2708
72523495238,4056
72523495239,1230
72523495239,3666
72523495240,1748
72523495240,2370
72523495240,3084
72523495240,3518
72523495240,4680
72523495240,4920
72953483738,578
72953483738,1728
72953483738,2652
72953483738,3680
72953483738,3750
72953483738,4758
72953483739,158
72953483739,608
72953483739,2118
72953483739,2334
72953483739,3710
72953483739,3828
72953483739,3926
72953483740,408
72953483740,714
72953483740,2192
72953483740,2828
72953483740,4160
